% BSU Number ;% Gene_Name ;% number messenger  ;number protein;promoter_efficiency  (1/s);messenger degradation (1/s);rbs_eficiency (1/s);protein degradation (1/s)
BSU00530;spoVC;5.7922;337.7454;0.038807;0.0066999;0.028831;0.00049444
BSU00540;yabK;6.621;64.9043;0.046927;0.0070875;0.0048469;0.00049444
BSU00550;mfd;3.7827;169.7605;0.023609;0.0062412;0.02219;0.00049444
BSU00560;spoVT;1.2976;49.8149;0.0079574;0.0061323;0.018981;0.00049444
BSU00570;yabM;0.94078;6.8517;0.011106;0.011805;0.003601;0.00049444
BSU00580;yabN;4.5473;188.2583;0.044762;0.0098437;0.02047;0.00049444
BSU00590;yabO;7.6674;594.0433;0.071022;0.0092628;0.038308;0.00049444
BSU00600;yabP;5.3194;362.1041;0.049383;0.0092836;0.033658;0.00049444
BSU00610;yabQ;4.0816;28.7084;0.038698;0.0094811;0.0034778;0.00049444
BSU00620;divIC;7.156;470.9236;0.064978;0.0090802;0.032538;0.00049444
BSU00630;yabR;10.6621;612.1123;0.059403;0.0055714;0.028386;0.00049444
BSU00640;spoIIE;0.23345;31.939;0.0044863;0.019217;0.067646;0.00049444
BSU00650;yabS;0.51015;55.227;0.0068239;0.013376;0.053526;0.00049444
BSU00660;yabT;0.49266;35.7564;0.005792;0.011757;0.035886;0.00049444
BSU00670;yacA;4.553;89.9805;0.096537;0.021203;0.0097717;0.00049444
BSU00680;hprT;8.3381;2715.7802;0.10908;0.013082;0.16104;0.00049444
BSU00690;ftsH;22.4362;1650.8687;0.16843;0.007507;0.036382;0.00049444
BSU00700;yacB;3.2628;226.3758;0.028828;0.0088355;0.034305;0.00049444
BSU00710;yacC;3.559;321.2023;0.031532;0.0088596;0.044623;0.00049444
BSU00720;yacD;3.3882;69.592;0.025106;0.0074099;0.010156;0.00049444
BSU00730;cysK;18.2894;2314.2518;0.087707;0.0047955;0.062565;0.00049444
BSU00740;pabB;3.2679;212.0578;0.027491;0.0084123;0.032085;0.00049444
BSU00750;pabA;6.5975;479.1455;0.06348;0.0096219;0.035909;0.00049444
BSU00760;pabC;6.5713;80.9525;0.060865;0.0092622;0.0060911;0.00049444
BSU00770;sul;8.6429;317.4133;0.072304;0.0083657;0.018159;0.00049444
BSU00780;folB;10.56;407.8975;0.082193;0.0077835;0.019099;0.00049444
BSU00790;folK;11.2583;228.6879;0.083958;0.0074574;0.010044;0.00049444
BSU00800;yazB;7.3598;206.9725;0.055402;0.0075276;0.013905;0.00049444
BSU00810;yacF;8.9896;24.1465;0.065884;0.0073289;0.0013281;0.00049444
BSU00820;lysS;13.7085;3706.3709;0.078565;0.0057311;0.13368;0.00049444
BSU00830;ctsR;8.4648;11137.1952;0.056943;0.006727;0.65054;0.00049444
